"export-world data (NetLogo 6.4.0)"
"lab2_1.nlogo"
"04/05/2024 14:20:53:764 +0200"

"RANDOM STATE"
"0 0 -1727483681 517 0.0 false -918647561 2106256881 -995414381 649846143 -873897190 245101383 -338805940 -1612779341 903361717 278763866 -2006236006 -296429957 -1784922827 -284951754 674462574 -116453677 1698718723 2144256118 1866182932 -1963443862 1601378211 -40541902 864255334 -162242358 188674066 1413932903 -913887699 913614691 402068630 1197713437 -1182641800 1846291195 -1914512898 -138156767 -938045965 536295853 -1008844198 -1796529241 98517130 -1259595328 -1620858555 335242671 754548452 -2075324846 602352672 1198263915 35224667 1860122927 -2009022597 1488226541 227730686 2005948924 1656313052 -964563075 -1285576742 1191640616 -1771744314 -646576943 -1806549670 -224150247 -1025165471 -2107988458 -1281234329 2009605005 982546106 1215109657 -1593348164 -1828666351 1412095506 1985366604 2047304563 696454551 520115623 -351935901 -1776057428 -791883694 196102370 2008008171 814319125 1336363316 -585445568 -127279875 1341626278 -2011709560 705115124 -136573904 -2074804516 -551044239 -1790864539 1463806280 -1584759675 -231909258 308026852 -1022158786 -1768658209 -378435670 -665406049 1639252497 1573480882 1041533950 -328928464 -944778336 -2101361216 1510181152 845440405 -1620731830 39180210 1898088447 1554042378 1714619578 -377977698 -842649561 -141458016 -548772370 1041795900 -1456153778 407839809 1372958503 -1122459828 -1630990799 114849612 2103583620 996455714 -2008619424 836305844 -1380582180 -991428557 2005689495 -2067188941 -1212111419 -118787424 1465949701 1966532117 1356768581 602540627 -1727979305 20086845 1632034897 -730017551 -1507151680 721686429 1357546929 -1255256761 2004830563 154360322 -1810271992 1032454003 -1947369396 1549271236 355781282 613639253 -1130619882 -2139101646 -1822902771 405051974 -758482421 -802521492 299585144 1651698344 369128806 -1284644425 -393096237 -1819896488 1644386281 46780044 -854489356 -713792610 18245958 1175909963 657129846 48756088 914152956 2071326984 -1693981677 1948178351 458502778 231870386 -76172584 -1526258061 661812768 1119568211 1974106063 -35632154 2128848466 -1910401930 -887163932 -924855453 -1492269525 1801183601 -1743847405 1494345544 1879556193 421333049 1572239269 -856542267 -374444173 1170381846 -1132828893 1890588242 -888691303 -590071748 721062481 -1517908250 -1940198727 -1355045511 -794294293 1174437172 1778604240 -506715639 838300478 1401772558 1018951559 1135654207 1063015453 52431177 -1740296157 -2000389975 -476530116 1719917874 -1254782956 -1294416754 -2060807374 1053052674 -563645057 -638317388 -122641153 1178206983 -1933383936 -897990390 600900321 -209625227 -902480401 -1060862293 1683793504 -1322782559 -1226881460 -335576056 -1484349627 1788173229 -636316667 675552465 1558666355 -28079786 946483371 54434730 -842171793 -2140826771 60256207 -419341444 -1644566102 -764120188 433282765 -332008444 -2025204177 38070171 224288544 -326272829 -278420593 503988202 -1883115113 1403190664 -2011337785 -1294663017 156042971 1125709800 -2144140190 730295069 737588290 -1785673868 -1410389600 -747561064 -480418338 706136456 1508674331 1426794611 -1333410948 -1421117990 -1675999940 -1490663462 -1706334420 926470472 -814397602 -2125021868 -2122558081 -694671652 -499994652 -91234454 -72409922 -1286782531 -1760461454 1527435060 2140268504 -556057121 1228595751 1851198026 -1926550691 682619817 -1985900573 -853183043 -494111291 1815071450 -1400180846 -27167846 125627186 -675372106 1096584742 -916202262 879511040 -793996781 232720205 -2006880500 -1602869945 642298725 -891540959 1658749840 1452777288 643263311 -371071285 920005000 1605610493 1455580209 -1652904248 1119913880 862121389 1108970754 -607752420 1141412809 -1983239026 -1154454952 -1529392524 1445442378 -2004443871 746535550 -1719942062 1589155761 -655671517 1265377457 -961517631 -121612848 -228171004 -951723462 569075667 -622025038 1357584667 1628713983 906102930 566269660 -306259323 -753028815 1894780084 -1755320475 -2088117468 859899909 1875842260 -9081682 677033646 -965727657 -1567051079 2035042740 -977991856 -1797536538 315230887 1407900749 1055217439 -1800235499 -1058136188 -1584527470 -1963774635 921230271 671735672 -1138404702 -46985725 -504363312 216481814 -1444464239 1208316151 -786943661 -180568971 -10498353 747377661 -907937579 -2127324062 772611762 573122802 608802476 -860264748 -798572567 446194008 2014340023 288897588 95647548 -1055914311 393504167 -1557880164 2117660881 -420883341 576126682 -1070364029 999934212 -540929369 826034946 -2124824012 1553278634 -1695415977 1855753310 -1395467209 1900661164 1860693612 -1805468842 1342573087 1268965992 1194371871 1683076780 622729551 2133370188 -568541302 -940344148 -620707267 300539266 -971915962 24309325 125480195 -811860520 1502192693 -472912900 -568265522 -614429674 -446697509 -1622785168 -52154214 1955143049 -1005684824 -106168623 -1748449703 -312553338 -1308338826 1144549947 19416208 627980100 -1097238630 -165667061 -478411039 -207585841 1599307666 2093296045 717777498 1314223137 261297401 -949001961 866315840 -919021382 -1225366512 1786280563 -1927093110 236692095 1340715358 -1387651282 -1101746230 1070925730 722096905 1441895303 1917188526 1871489082 1511350909 -1048010936 -1028784301 -1809950988 -53102793 -1877012842 -121463204 -1508614952 -1029821012 296018991 -1989468140 1353939239 709874772 945449978 848547283 1135922437 -2118698958 -1557502036 91859357 -98746340 -744434474 1857832912 691593849 -167173711 -646854918 -1780708609 -470455396 -693979185 1892861240 -136331833 -1054087576 -1737800461 852425112 -2015819232 -1654110504 497431393 -1945090814 -1116263621 -902855235 1821505163 -2082367759 -2133326785 -1735970197 -391040451 -1085365810 843869395 -931558252 -1593183831 399057198 -1153857587 -231961441 1994974478 328001392 820447611 -1650410485 -1915394579 1780469536 -1666147525 -984475668 1234324423 360477798 766034047 1506077876 -1713495398 -114405687 -942648323 41377683 -638807264 1436699015 -167987420 391943414 -1467850407 -137182107 1342013690 -1762077649 402892547 -829024403 -1110876864 -1245269807 -1707997626 -1075308466 1084592668 -1280003940 590871818 -1156232101 -50249830 406801736 -7124842 -1314958744 2057720716 -272874598 -1793842979 1197619804 716909352 1187661685 820385318 1300173408 371444995 -1553459803 -1780511124 683636213 -2146975239 -1794943137 779914837 1855172352 655225126 -484623449 -907106170 -1710590104 -1799371173 743486751 1903276420 -1375232812 641401299 -217937092 837726864 321172454 -768136447 -1644797529 1659713123 841207618 -1743773152 -1079982313 1188037083 -2021213224 -1235711437 -1284020509 766140524 -1333871867 613112905 933855693 211059305 1661205169 -1051463801 -314995637 724009329 876260596 -733975758 -1355399468 -1095132374 1048029360 2098979034 1067109806 1154001369 -964465407 671012993 920882326 2096875897 1185419158 1938641085 382273134 1785206062 -1251473304 -1374918788 -2147276458 -1695993275 -502549241 -2111397875 -1895086839 -717582261 -1614739330"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks"
"-16","16","-16","16","0","nobody","50","""NEITHER""","-1"

"TURTLES"
"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","age"
"0","15","111","-7","-8","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","21"
"1","15","103","15","-7","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","26"
"2","15","282","-13","3","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","35"
"3","15","192","-6","-2","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4"
"4","15","170","6","-11","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","43"
"5","15","107","13","1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","20"
"6","15","14","-13","5","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","33"
"7","15","60","2","10","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","30"
"8","15","310","11","-15","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2"
"9","15","85","15","2","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14"
"10","15","27","10","7","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4"
"11","15","245","-6","-15","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","33"
"12","15","143","-11","-4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","16"
"13","15","211","-2","4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","28"
"14","15","15","8","6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","39"
"15","15","122","1","-9","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4"
"16","15","77","1","12","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","33"
"17","15","170","4","-1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","20"
"18","15","312","-11","14","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1"
"19","15","107","-7","-4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","30"
"20","15","120","12","-11","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9"
"21","15","209","7","-11","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5"
"22","15","23","-10","-16","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3"
"23","15","239","16","-16","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3"
"24","15","192","5","-6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","15"
"25","15","137","2","-4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","20"
"26","15","49","14","-10","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8"
"27","15","76","-11","-5","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0"
"28","15","274","10","4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","46"
"29","15","328","-12","10","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","36"
"30","15","313","-15","-6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","27"
"31","15","43","-4","-14","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","18"
"32","15","281","0","-4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12"
"33","15","7","16","-1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","42"
"34","15","43","-16","-3","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9"
"35","15","126","9","-8","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","35"
"36","15","101","15","-2","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","18"
"37","15","60","7","6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10"
"38","15","245","10","-15","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4"
"39","15","165","6","-14","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","23"
"40","15","169","-12","-1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","23"
"41","15","170","10","-6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1"
"42","15","223","16","-15","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","36"
"43","15","264","15","1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10"
"44","15","126","-1","-10","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","28"
"45","15","136","11","4","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","15"
"46","15","182","-1","-6","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","24"
"47","15","102","-10","-7","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8"
"48","15","273","-14","-2","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8"
"49","15","211","5","1","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","27"

"PATCHES"
"pxcor","pycor","pcolor","plabel","plabel-color"
"-16","16","43","""""","9.9"
"-15","16","48","""""","9.9"
"-14","16","46","""""","9.9"
"-13","16","43","""""","9.9"
"-12","16","40","""""","9.9"
"-11","16","46","""""","9.9"
"-10","16","45","""""","9.9"
"-9","16","44","""""","9.9"
"-8","16","49","""""","9.9"
"-7","16","47","""""","9.9"
"-6","16","41","""""","9.9"
"-5","16","49","""""","9.9"
"-4","16","44","""""","9.9"
"-3","16","46","""""","9.9"
"-2","16","40","""""","9.9"
"-1","16","49","""""","9.9"
"0","16","48","""""","9.9"
"1","16","40","""""","9.9"
"2","16","42","""""","9.9"
"3","16","44","""""","9.9"
"4","16","43","""""","9.9"
"5","16","46","""""","9.9"
"6","16","44","""""","9.9"
"7","16","42","""""","9.9"
"8","16","42","""""","9.9"
"9","16","43","""""","9.9"
"10","16","48","""""","9.9"
"11","16","42","""""","9.9"
"12","16","42","""""","9.9"
"13","16","46","""""","9.9"
"14","16","40","""""","9.9"
"15","16","47","""""","9.9"
"16","16","41","""""","9.9"
"-16","15","47","""""","9.9"
"-15","15","47","""""","9.9"
"-14","15","40","""""","9.9"
"-13","15","45","""""","9.9"
"-12","15","44","""""","9.9"
"-11","15","45","""""","9.9"
"-10","15","46","""""","9.9"
"-9","15","46","""""","9.9"
"-8","15","47","""""","9.9"
"-7","15","45","""""","9.9"
"-6","15","47","""""","9.9"
"-5","15","47","""""","9.9"
"-4","15","46","""""","9.9"
"-3","15","42","""""","9.9"
"-2","15","44","""""","9.9"
"-1","15","41","""""","9.9"
"0","15","45","""""","9.9"
"1","15","46","""""","9.9"
"2","15","47","""""","9.9"
"3","15","40","""""","9.9"
"4","15","41","""""","9.9"
"5","15","42","""""","9.9"
"6","15","40","""""","9.9"
"7","15","43","""""","9.9"
"8","15","42","""""","9.9"
"9","15","44","""""","9.9"
"10","15","44","""""","9.9"
"11","15","49","""""","9.9"
"12","15","40","""""","9.9"
"13","15","44","""""","9.9"
"14","15","46","""""","9.9"
"15","15","42","""""","9.9"
"16","15","45","""""","9.9"
"-16","14","43","""""","9.9"
"-15","14","44","""""","9.9"
"-14","14","49","""""","9.9"
"-13","14","44","""""","9.9"
"-12","14","47","""""","9.9"
"-11","14","47","""""","9.9"
"-10","14","44","""""","9.9"
"-9","14","48","""""","9.9"
"-8","14","43","""""","9.9"
"-7","14","41","""""","9.9"
"-6","14","41","""""","9.9"
"-5","14","47","""""","9.9"
"-4","14","47","""""","9.9"
"-3","14","45","""""","9.9"
"-2","14","43","""""","9.9"
"-1","14","42","""""","9.9"
"0","14","42","""""","9.9"
"1","14","45","""""","9.9"
"2","14","48","""""","9.9"
"3","14","40","""""","9.9"
"4","14","47","""""","9.9"
"5","14","42","""""","9.9"
"6","14","48","""""","9.9"
"7","14","44","""""","9.9"
"8","14","44","""""","9.9"
"9","14","43","""""","9.9"
"10","14","45","""""","9.9"
"11","14","48","""""","9.9"
"12","14","47","""""","9.9"
"13","14","44","""""","9.9"
"14","14","43","""""","9.9"
"15","14","42","""""","9.9"
"16","14","44","""""","9.9"
"-16","13","40","""""","9.9"
"-15","13","41","""""","9.9"
"-14","13","49","""""","9.9"
"-13","13","42","""""","9.9"
"-12","13","44","""""","9.9"
"-11","13","46","""""","9.9"
"-10","13","44","""""","9.9"
"-9","13","49","""""","9.9"
"-8","13","40","""""","9.9"
"-7","13","45","""""","9.9"
"-6","13","48","""""","9.9"
"-5","13","40","""""","9.9"
"-4","13","47","""""","9.9"
"-3","13","45","""""","9.9"
"-2","13","44","""""","9.9"
"-1","13","47","""""","9.9"
"0","13","46","""""","9.9"
"1","13","48","""""","9.9"
"2","13","47","""""","9.9"
"3","13","43","""""","9.9"
"4","13","44","""""","9.9"
"5","13","47","""""","9.9"
"6","13","46","""""","9.9"
"7","13","49","""""","9.9"
"8","13","49","""""","9.9"
"9","13","46","""""","9.9"
"10","13","46","""""","9.9"
"11","13","46","""""","9.9"
"12","13","45","""""","9.9"
"13","13","48","""""","9.9"
"14","13","43","""""","9.9"
"15","13","45","""""","9.9"
"16","13","41","""""","9.9"
"-16","12","49","""""","9.9"
"-15","12","42","""""","9.9"
"-14","12","41","""""","9.9"
"-13","12","42","""""","9.9"
"-12","12","46","""""","9.9"
"-11","12","48","""""","9.9"
"-10","12","41","""""","9.9"
"-9","12","44","""""","9.9"
"-8","12","44","""""","9.9"
"-7","12","44","""""","9.9"
"-6","12","47","""""","9.9"
"-5","12","46","""""","9.9"
"-4","12","45","""""","9.9"
"-3","12","43","""""","9.9"
"-2","12","45","""""","9.9"
"-1","12","44","""""","9.9"
"0","12","49","""""","9.9"
"1","12","45","""""","9.9"
"2","12","44","""""","9.9"
"3","12","46","""""","9.9"
"4","12","43","""""","9.9"
"5","12","48","""""","9.9"
"6","12","45","""""","9.9"
"7","12","48","""""","9.9"
"8","12","46","""""","9.9"
"9","12","49","""""","9.9"
"10","12","43","""""","9.9"
"11","12","44","""""","9.9"
"12","12","48","""""","9.9"
"13","12","40","""""","9.9"
"14","12","48","""""","9.9"
"15","12","46","""""","9.9"
"16","12","42","""""","9.9"
"-16","11","45","""""","9.9"
"-15","11","49","""""","9.9"
"-14","11","45","""""","9.9"
"-13","11","46","""""","9.9"
"-12","11","43","""""","9.9"
"-11","11","44","""""","9.9"
"-10","11","40","""""","9.9"
"-9","11","49","""""","9.9"
"-8","11","48","""""","9.9"
"-7","11","44","""""","9.9"
"-6","11","49","""""","9.9"
"-5","11","46","""""","9.9"
"-4","11","45","""""","9.9"
"-3","11","42","""""","9.9"
"-2","11","44","""""","9.9"
"-1","11","42","""""","9.9"
"0","11","42","""""","9.9"
"1","11","43","""""","9.9"
"2","11","48","""""","9.9"
"3","11","40","""""","9.9"
"4","11","48","""""","9.9"
"5","11","40","""""","9.9"
"6","11","48","""""","9.9"
"7","11","44","""""","9.9"
"8","11","42","""""","9.9"
"9","11","44","""""","9.9"
"10","11","42","""""","9.9"
"11","11","44","""""","9.9"
"12","11","41","""""","9.9"
"13","11","41","""""","9.9"
"14","11","40","""""","9.9"
"15","11","44","""""","9.9"
"16","11","40","""""","9.9"
"-16","10","40","""""","9.9"
"-15","10","43","""""","9.9"
"-14","10","44","""""","9.9"
"-13","10","42","""""","9.9"
"-12","10","48","""""","9.9"
"-11","10","49","""""","9.9"
"-10","10","44","""""","9.9"
"-9","10","46","""""","9.9"
"-8","10","40","""""","9.9"
"-7","10","40","""""","9.9"
"-6","10","46","""""","9.9"
"-5","10","40","""""","9.9"
"-4","10","40","""""","9.9"
"-3","10","48","""""","9.9"
"-2","10","43","""""","9.9"
"-1","10","48","""""","9.9"
"0","10","41","""""","9.9"
"1","10","43","""""","9.9"
"2","10","46","""""","9.9"
"3","10","45","""""","9.9"
"4","10","44","""""","9.9"
"5","10","48","""""","9.9"
"6","10","40","""""","9.9"
"7","10","47","""""","9.9"
"8","10","45","""""","9.9"
"9","10","45","""""","9.9"
"10","10","49","""""","9.9"
"11","10","42","""""","9.9"
"12","10","40","""""","9.9"
"13","10","46","""""","9.9"
"14","10","45","""""","9.9"
"15","10","44","""""","9.9"
"16","10","47","""""","9.9"
"-16","9","49","""""","9.9"
"-15","9","45","""""","9.9"
"-14","9","45","""""","9.9"
"-13","9","43","""""","9.9"
"-12","9","47","""""","9.9"
"-11","9","49","""""","9.9"
"-10","9","46","""""","9.9"
"-9","9","47","""""","9.9"
"-8","9","43","""""","9.9"
"-7","9","44","""""","9.9"
"-6","9","45","""""","9.9"
"-5","9","42","""""","9.9"
"-4","9","48","""""","9.9"
"-3","9","45","""""","9.9"
"-2","9","44","""""","9.9"
"-1","9","48","""""","9.9"
"0","9","49","""""","9.9"
"1","9","47","""""","9.9"
"2","9","43","""""","9.9"
"3","9","46","""""","9.9"
"4","9","40","""""","9.9"
"5","9","41","""""","9.9"
"6","9","48","""""","9.9"
"7","9","49","""""","9.9"
"8","9","46","""""","9.9"
"9","9","41","""""","9.9"
"10","9","46","""""","9.9"
"11","9","45","""""","9.9"
"12","9","40","""""","9.9"
"13","9","40","""""","9.9"
"14","9","44","""""","9.9"
"15","9","47","""""","9.9"
"16","9","47","""""","9.9"
"-16","8","46","""""","9.9"
"-15","8","41","""""","9.9"
"-14","8","42","""""","9.9"
"-13","8","43","""""","9.9"
"-12","8","44","""""","9.9"
"-11","8","47","""""","9.9"
"-10","8","48","""""","9.9"
"-9","8","44","""""","9.9"
"-8","8","49","""""","9.9"
"-7","8","40","""""","9.9"
"-6","8","43","""""","9.9"
"-5","8","49","""""","9.9"
"-4","8","45","""""","9.9"
"-3","8","47","""""","9.9"
"-2","8","47","""""","9.9"
"-1","8","43","""""","9.9"
"0","8","42","""""","9.9"
"1","8","47","""""","9.9"
"2","8","44","""""","9.9"
"3","8","49","""""","9.9"
"4","8","48","""""","9.9"
"5","8","47","""""","9.9"
"6","8","46","""""","9.9"
"7","8","49","""""","9.9"
"8","8","46","""""","9.9"
"9","8","47","""""","9.9"
"10","8","49","""""","9.9"
"11","8","46","""""","9.9"
"12","8","44","""""","9.9"
"13","8","43","""""","9.9"
"14","8","48","""""","9.9"
"15","8","40","""""","9.9"
"16","8","49","""""","9.9"
"-16","7","48","""""","9.9"
"-15","7","42","""""","9.9"
