"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"20","1","2","51.85125303152789"
"18","1","2","51.83574879227053"
"21","5","2","51.37629533678757"
"22","5","0","48.68591823491239"
"23","5","0","50.75303643724697"
"18","1","3","51.83456710653363"
"22","5","1","50.008047642040886"
"18","1","4","51.83456710653363"
"23","5","1","52.31414288018061"
"22","5","2","50.03217503217503"
"18","1","5","51.891195879607274"
"23","5","2","52.646822204344325"
"24","5","0","50.18683996750609"
"26","5","0","50.227494312642186"
"24","5","1","51.86742118027485"
"25","5","0","50.26033192320208"
"27","5","0","49.388354265209585"
"24","5","2","52.05103359173127"
"26","5","1","51.94300518134715"
"25","5","1","51.93022128896786"
"27","5","1","51.26582278481012"
"25","5","2","52.14089513653256"
"26","5","2","52.1274874615758"
"28","5","0","49.349170191994794"
"27","5","2","51.45914396887159"
"28","5","1","50.60552236395931"
"29","5","0","49.01960784313725"
"30","5","0","49.73227324355022"
"26","5","3","52.16688227684346"
"28","5","2","50.78238425552508"
"29","5","1","50.64808813998704"
"30","5","1","51.4276496209066"
"29","5","2","50.89141004862236"
"30","5","2","51.4975845410628"
"28","5","3","50.79032258064517"
"31","5","0","50.37337662337662"
"32","5","0","49.200130590923926"
"29","5","3","50.88316318262842"
"32","5","1","50.584605391360824"
"30","5","3","51.513200257566005"
"29","5","4","50.88316318262842"
"32","5","2","50.673810683552524"
"33","5","0","50.34987794955248"
"33","5","1","51.75040518638574"
"33","5","2","51.75708502024291"
"29","5","5","50.94767536044063"
"34","5","0","49.407371326514046"
"31","5","1","51.8840579710145"
"34","5","1","50.37120723047127"
"35","5","0","50.40584415584416"
"31","5","2","51.94135653294667"
"35","5","1","52.068519715578546"
"34","5","2","50.636994033220454"
"35","5","2","52.2994997579474"
"36","5","0","50.517631834357815"
"31","5","3","51.95683684973426"
"36","5","1","51.86140209508461"
"37","5","0","49.57488554610857"
"36","5","2","52.0850104653035"
"38","5","0","49.42454206516453"
"39","5","0","50.37483702737941"
"37","5","1","50.94798249878464"
"39","5","1","51.53572583252506"
"38","5","1","50.546975546975546"
"37","5","2","51.22386124169233"
"39","5","2","51.69121217025408"
"40","5","0","51.57741465782236"
"41","10","0","50.471085120207924"
"38","5","2","50.67545834673528"
"42","10","0","49.15364583333333"
"40","5","1","53.392425463336025"
"41","10","1","51.70463725965423"
"42","10","1","50.62984496124031"
"40","5","2","53.4932388924662"
"43","10","0","50.544626889936595"
"40","5","3","53.5426731078905"
"43","10","1","51.7631834357813"
"41","10","2","51.84168012924071"
"42","10","2","50.79108814982241"
"44","10","0","49.83050847457628"
"43","10","2","51.997412259421"
"45","10","0","49.45972495088409"
"44","10","1","51.10359271789915"
"46","10","0","51.363193768257055"
"43","10","3","52.04527081649151"
"45","10","1","50.900535453512894"
"46","10","1","52.39786856127886"
"45","10","2","51.23216601815823"
"46","10","2","52.5508556667743"
"44","10","2","51.23208246094379"
"47","10","0","51.118367346938776"
"48","10","0","48.7075272313445"
"44","10","3","51.36092768561765"
"49","10","0","49.82102180279857"
"48","10","1","49.959514170040485"
"47","10","1","52.62473590118641"
"49","10","1","51.20647773279352"
"50","10","0","48.4991075774785"
"48","10","2","50.08093234056329"
"50","10","1","49.911532893678626"
"47","10","2","52.66493337666558"
"49","10","2","51.34304207119741"
"50","10","2","49.951783992285435"
"52","10","0","50.75794621026895"
"53","10","0","50.70536727744446"
"50","10","3","49.991960122206144"
"51","10","0","49.43273905996758"
"52","10","1","51.870527000650625"
"53","10","1","52.304221720915244"
"52","10","2","51.98309492847854"
"51","10","1","51.618618134965374"
"53","10","2","52.435299791030374"
"54","10","0","50"
"51","10","2","51.91318327974277"
"53","10","3","52.48272537361402"
"52","10","3","52.015604681404426"
"54","10","1","51.3915857605178"
"51","10","3","51.93636509721999"
"55","10","0","50.0973078170613"
"56","10","0","50.413223140495866"
"54","10","2","51.52789005658852"
"57","10","0","50.379828673024086"
"54","10","3","51.56907149789712"
"55","10","1","51.84231697506034"
"56","10","1","52.247462542290954"
"57","10","1","51.74847609881296"
"56","10","2","52.33419188667096"
"58","10","0","50.032425421530476"
"58","10","1","51.144792002579806"
"59","10","0","50.04855940433798"
"55","10","2","51.891195879607274"
"57","10","2","51.812640359319865"
"58","10","2","51.354838709677416"
"59","10","1","51.567272142742326"
"58","10","3","51.4502094747019"
"60","10","0","50.50554468362688"
"61","15","0","50.70605421197858"
"60","10","1","51.841635567093945"
"59","10","2","51.85482575879236"
"61","15","1","53.41908173233474"
"60","10","2","51.90530241608562"
"61","15","2","53.996418687937485"
"64","15","0","49.357619125060985"
"61","15","3","54.054054054054056"
"62","15","0","49.46306540839571"
"63","15","0","50.52734058088594"
"61","15","4","54.07914020517831"
"64","15","1","52.51786874593892"
"62","15","1","52.34997560578955"
"61","15","5","54.095424198013355"
"63","15","1","53.255208333333336"
"64","15","2","53.48647768002607"
"62","15","2","53.16620543708286"
"63","15","2","53.957654723127035"
"65","15","0","49.66661245731013"
"62","15","3","53.29643496662868"
"63","15","3","54.16056016935352"
"62","15","4","53.33007653476633"
"64","15","3","53.75346034847745"
"65","15","1","52.7255029201817"
"63","15","4","54.25081433224756"
"65","15","2","53.4435261707989"
"66","15","0","49.96756406097956"
"63","15","5","54.32340009770395"
"65","15","3","53.69769704832955"
"64","15","4","53.770972471086495"
"66","15","1","53.37214944201843"
"65","15","4","53.942245295262815"
"64","15","5","53.86119257086999"
"63","15","6","54.33224755700326"
"66","15","2","54.33338733192937"
"65","15","5","53.998377939983776"
"64","15","6","53.86119257086999"
"63","15","7","54.40769105426104"
"66","15","3","54.4923775543302"
"64","15","7","53.86996904024768"
"66","15","4","54.539559014267184"
"67","15","0","50.34013605442177"
"68","15","0","50.768476128188354"
"64","15","8","53.85867795506349"
"69","15","0","49.95131450827653"
"68","15","1","54.28244524354364"
"67","15","1","52.98120544394037"
"70","15","0","49.28338762214984"
"69","15","1","52.78501628664495"
"68","15","2","55.12904279647174"
"67","15","2","53.74227139602994"
"70","15","1","52.83572359843546"
"69","15","2","53.542922300048865"
"68","15","3","55.40871267743515"
"67","15","3","53.89747762408462"
"70","15","2","53.393148450244695"
"69","15","3","53.96023468057366"
"68","15","4","55.69331158238173"
"67","15","4","54.07383314360058"
"70","15","3","54.065969954278245"
"69","15","4","54.10824910335833"
"67","15","5","54.125305126118796"
"70","15","4","54.10344264969815"
"68","15","5","55.81660956110295"
"70","15","5","54.20133790177844"
"71","15","0","50.47277469840235"
"72","15","0","50.12936610608021"
"68","15","6","55.83292543644966"
"71","15","1","53.14332247557003"
"73","15","0","48.575129533678755"
"71","15","2","54.19449421729924"
"72","15","1","52.55060728744939"
"74","15","0","50.293829578844274"
"71","15","3","54.52028017592442"
"73","15","1","51.538710722384195"
"72","15","2","53.44995140913509"
"74","15","1","54.01567091087169"
"71","15","4","54.56026058631922"
"72","15","3","53.574323229048474"
"74","15","2","55.029392553886346"
"71","15","5","54.618015963511965"
"72","15","4","53.64667747163695"
"73","15","2","52.237354085603116"
"71","15","6","54.66101694915254"
"74","15","3","55.26744944553164"
"75","15","0","49.47729500163345"
"73","15","3","52.699854061942595"
"73","15","4","52.7255029201817"
"75","15","1","52.57077774162057"
"76","15","0","49.95128288405326"
"74","15","4","55.36529680365297"
"77","15","0","51.35135135135135"
"76","15","1","53.23939099449303"
"74","15","5","55.406948295547224"
"77","15","1","53.701603758302284"
"75","15","2","53.422425032594525"
"76","15","2","54.01459854014598"
"77","15","2","54.36089004385253"
"78","15","0","50.35737491877843"
"75","15","3","53.78837361201829"
"76","15","3","54.11058861683152"
"78","15","1","53.30097087378641"
"75","15","4","53.829821982688216"
"79","15","0","49.22052614485222"
"78","15","2","54.1437358368404"
"77","15","3","54.749147588894296"
"75","15","5","54.000653167864144"
"79","15","1","52.5974025974026"
"78","15","3","54.44983818770227"
"75","15","6","54.069957502451786"
"77","15","4","54.893686089920465"
"79","15","2","53.53141743789577"
"78","15","4","54.6485260770975"
"75","15","7","54.089795918367344"
"80","15","0","50.93541564991052"
"75","15","8","54.14626183480248"
"79","15","3","53.86489119844106"
"80","15","1","53.89504563233377"
"78","15","5","54.72951085195983"
"79","15","4","53.92857142857142"
"80","15","2","54.62691430433366"
"78","15","6","54.745707806932295"
"79","15","5","53.993506493506494"
"81","20","0","50.270004909180166"
"80","15","3","54.95436766623207"
"79","15","6","54.10847677817473"
"82","20","0","48.960025999350016"
"81","20","1","54.725634725634734"
"80","15","4","54.97962510187448"
"82","20","1","53.16250405449237"
"81","20","2","56.55804814147699"
"83","20","0","49.19724770642202"
"81","20","3","57.366873570728515"
"82","20","2","54.810968684082425"
"81","20","4","57.71241830065359"
"83","20","1","53.4096484055601"
"82","20","3","55.58264261335933"
"81","20","5","57.8079059131003"
"84","20","0","48.52725793327909"
"83","20","2","54.85397291564692"
"82","20","4","56.11300535801267"
"81","20","6","57.8362477529008"
"82","20","5","56.24086998863821"
"81","20","7","57.80535597648596"
"84","20","1","53.3181151149519"
"83","20","3","55.493968046951416"
"82","20","6","56.336199902644815"
"81","20","8","57.856909506697164"
"83","20","4","55.89960886571056"
"84","20","2","55.466970387243734"
