"BehaviorSpace results (NetLogo 6.1.1)"
"lab2_5_ex_a.nlogo"
"experiment"
"04/23/2020 12:46:07:450 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","%-similar-wanted","[step]","percent-similar"
"23","25","5","58.241297357751996"
"25","25","3","58.804500703234886"
"24","25","6","59.11896745230079"
"26","25","5","58.11569783768604"
"25","25","4","59.201462111626604"
"23","25","6","58.348470029341904"
"24","25","7","59.261857984844234"
"26","25","6","58.1437798371244"
"25","25","5","59.364900941407896"
"24","25","8","59.27900126244915"
"25","25","6","59.364900941407896"
"26","25","7","58.197641774284115"
"27","25","0","49.34936350777935"
"25","25","7","59.39036381514258"
"28","25","0","49.99287647813079"
"29","25","0","51.060820367751056"
"28","25","1","55.00565610859729"
"29","25","1","58.15232722143865"
"27","25","1","55.07307476110175"
"28","25","2","57.11462450592886"
"29","25","2","60.71932299012695"
"30","25","0","49.97862943439236"
"28","25","3","57.82351282774175"
"27","25","2","57.710674157303366"
"29","25","3","61.46827624929815"
"28","25","4","58.06315195940231"
"27","25","3","58.691378826172425"
"29","25","4","61.74694565370032"
"28","25","5","58.26050183253454"
"30","25","1","55.57437200112899"
"27","25","4","59.22289241127788"
"29","25","5","61.88202247191011"
"28","25","6","58.32276250880902"
"30","25","2","57.24729368761423"
"29","25","6","62.01517706576728"
"28","25","7","58.339207669533344"
"30","25","3","58.00646703219458"
"27","25","5","59.453015427769984"
"29","25","7","62.178496134926206"
"28","25","8","58.367404483293384"
"30","25","4","58.32397529477822"
"33","30","0","50.10660980810234"
"32","30","0","50.38254463020686"
"31","30","0","50.355719977233925"
"30","25","5","58.504069604266064"
"30","25","6","58.57423519506034"
"31","30","1","59.28032996728773"
"30","25","7","58.56842105263158"
"32","30","1","60.93860768467319"
"33","30","1","58.687040181097906"
"30","25","8","58.608110004209344"
"31","30","2","64.65419501133786"
"33","30","2","63.86840612592173"
"32","30","2","65.96917856637918"
"34","30","0","49.03216623968119"
"33","30","3","67.80646992054483"
"31","30","3","68.86431305827307"
"32","30","3","69.3408929836995"
"33","30","4","70.16174801362088"
"32","30","4","71.29551227773074"
"31","30","4","70.6823329558324"
"32","30","5","72.63336635064384"
"34","30","1","59.51198751595971"
"31","30","5","71.85950998442146"
"33","30","5","71.74499503052675"
"31","30","6","73.26718639262934"
"34","30","2","64.23916123547747"
"33","30","6","72.08741308358167"
"31","30","7","73.89393079977312"
"32","30","6","73.52152434721242"
"33","30","7","72.29547710194244"
"34","30","3","68.16706645971497"
"32","30","7","73.86587771203156"
"33","30","8","72.65636079988654"
"34","30","4","70.3244005641749"
"32","30","8","74.1444866920152"
"31","30","8","74.1780045351474"
"33","30","9","72.67186392629341"
"32","30","9","74.17535945869749"
"34","30","5","72.26308345120226"
"31","30","9","74.3840271877655"
"32","30","10","74.21489930995634"
"33","30","10","72.74273564847626"
"34","30","6","73.11979681106251"
"31","30","10","74.56426243446224"
"32","30","11","74.18673426277988"
"33","30","11","72.76722426991778"
